title,creator,subjects,publisher,publicationyear,checkoutmonth,checkoutyear,checkouts,materialtype,usageclass,checkouttype
"Deadpool [videorecording] / Twentieth Century Fox ; in association with Marvel Entertainment ; a Kinberg Genre/The Donners' Company production ; produced by Simon Kinberg, Ryan Reynolds, Lauren Shuler Donner ; written by Rhett Reese & Paul Wernick ; directed by Tim Miller.",,"Deadpool Fictitious character Drama, Human experimentation in medicine Drama, Antiheroes Drama, Revenge Drama, Feature films, Fiction films, Action and adventure films, Comedy films, Superhero films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",20th Century Fox,2016,11,2016,337,VIDEODISC,Physical,Horizon
"Hacksaw Ridge / Summit Entertainment ; Cross Creek Pictures ; Demarest Films ;Argent Pictures ; produced in association with IM Global and AI Film Productions and in association with Vendian Entertainment and Kylin Pictures ; a Pandemonium Films / Permut Presentations production ; produced by Bill Mechanic, David Permut, Terry Benedict, Paul Currie, Bruce Davey, Brian Oliver, William D. Johnson ; screenplay by Robert Schenkkan and Andrew Knight ; directed by Mel Gibson.",,"Doss Desmond 1919 2006 Drama, United States Army Medical personnel Drama, World War 1939 1945 Conscientious objectors Drama, Action and adventure films, War films, Feature films, Fiction films, Historical films, Biographical films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Summit Entertainment,2017,4,2017,337,VIDEODISC,Physical,Horizon
"Fantastic beasts and where to find them / Warner Bros. Pictures ; a Heyday Films production ; produced by David Heyman, J.K. Rowling, Steve Kloves, Lionel Wigram ; directed by David Yates ; written by J.K. Rowling.",,"Witches Drama, Wizards Drama, Magic Drama, Feature films, Fantasy films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Warner Bros.,2017,6,2017,337,VIDEODISC,Physical,Horizon
Black Panther / Marvel Studios ; produced by Kevin Feige ; written by Ryan Coogler & Joe Robert Cole ; directed by Ryan Coogler.,,"Black Panther Fictitious character Drama, Kings and rulers Drama, Imaginary places Drama, Superheroes Drama, Good and evil Drama, Feature films, Action and adventure films, Superhero films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Buena Vista Home Entertainment,2018,9,2018,337,VIDEODISC,Physical,Horizon
"Foxcatcher [videorecording] / Sony Pictures Classics ; an Annapurna Pictures production ; in association with Likely Story ; produced by Megan Ellison, Bennett Miller, Jon Kilik, Anthony Bregman ; written by E. Max Frye and Dan Futterman ; directed by Bennett Miller.",,"Schultz Mark 1960 Drama, Schultz David L 1996 Drama, Du Pont John E John Eleuth?re Drama, Wrestlers Drama, Olympic athletes Drama, Murder Drama, Wrestling Drama, Feature films, Fiction films, Sports films, Thrillers Motion pictures, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Sony Pictures Home Entertainment,2015,5,2015,336,VIDEODISC,Physical,Horizon
"Dallas buyers club [videorecording] / Focus Features ; Truth Entertainment ; a Voltage Pictures/R2 Films/Evolution Independent/CE production ; directed by Jean-Marc Vall‚e ; written by Craig Borten & Melisa Wallack ; produced by Robbie Brenner, Rachel Winter.",,"HIV positive persons Drama, Cowboys Texas Drama, HIV positive persons Care Drama, HIV Viruses Alternative treatment Drama, Nineteen eighties Drama, Feature films, Fiction films, Biographical films, Historical films, Video recordings for the hearing impaired",Universal Studios,2014,11,2014,336,VIDEODISC,Physical,Horizon
Enough said [videorecording] / Fox Searchlight Pictures ; a Likely Story production ; produced by Anthony Bregman ; written and directed by Nicole Holofcener.,,"Divorced mothers Drama, Single mothers Drama, Man woman relationships Drama, Romantic comedy films, Feature films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities, Comedy films",20th Century Fox,2014,4,2014,336,VIDEODISC,Physical,Horizon
Game of thrones. The complete second season [videorecording] / HBO Entertainment.,,"Kings and rulers Drama, Nobility Drama, Imaginary wars and battles Drama, Television series, Fantasy television programs, Action and adventure television programs, Fiction television programs, Video recordings for the hearing impaired",Warner Bros.,2013,7,2013,336,VIDEODISC,Physical,Horizon
"The perks of being a wallflower [videorecording] / Summit Entertainment ; a Mr. Mudd production ; produced by Lianne Halfon, Russell Smith, John Malkovich ; screenplay, directed by Stephen Chbosky.",,"Teenagers Drama, High school students Drama, Interpersonal relations Drama, Feature films, Coming of age films, Fiction films, Video recordings for the hearing impaired",Summit Entertainment,2013,5,2013,336,VIDEODISC,Physical,Horizon
"The men who stare at goats [videorecording] / Overture Films in association with Winchester Capital Management and BBC Films ; a Smokehouse/Paul Lister production ; produced by Paul Lister, George Clooney, Grant Heslov ; screenplay by Peter Straughan ; directed by Grant Heslov.",,"Reporters and reporting Drama, United States Army Military life Drama, Parapsychology Military aspects Drama, Psychics Drama, United States Army Search and rescue operations Drama, Comedy films, War films, Feature films, Fiction films",Anchor Bay Entertainment,2010,6,2010,336,VIDEODISC,Physical,Horizon
"Juno [videorecording] / Fox Searchlight Pictures ; a Mandate Pictures/Mr. Mudd production ; produced by Lianne Halfon, John Malkovich, Mason Novick, Russell Smith ; written by Diablo Cody ; directed by Jason Reitman.",,"Teenage pregnancy Drama, Adoption Drama, Teenagers Drama, Feature films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,3,2010,336,VIDEODISC,Physical,Horizon
"Julie & Julia [videorecording] / Columbia Pictures ; an Easy There Tiger/Amy Robinson production ; produced by Laurence Mark, Nora Ephron, Amy Robinson, Eric Steel ; screenplay by Nora Ephron ; directed by Nora Ephron.",,"Powell Julie Drama, Child Julia Drama, Blogs Drama, Cooking French Drama, Cooking Study and teaching France Paris Drama, Women cooks Drama, Comedy films, Biographical films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities, Feature films",Sony Pictures Home Entertainment,2009,1,2010,336,VIDEODISC,Physical,Horizon
"The golden compass [videorecording] / New Line Cinema in association with Ingenious Film Partners ; a Scholastic production ; a Depth of Field production ; produced by Deborah Forte, Bill Carraro ; screenplay and directed by Chris Weitz.",,"Witches Drama, Alliances Drama, Human experimentation in psychology Drama, Action and adventure films, Thrillers Motion pictures, Fantasy films, Video recordings for the hearing impaired, Feature films",New Line Cinema,2008,11,2009,336,VIDEODISC,Physical,Horizon
"27 dresses [videorecording] / Fox 2000 Pictures and Spyglass Entertainment present a Birnbaum/Barber production ; produced by Roger Birnbaum, Gary Barber, Jonathan Glickman ; written by Aline Brosh McKenna ; directed by Anne Fletcher.",,"Bridesmaids New York State New York Drama, Wedding costume New York State New York Drama, Sisters New York State New York Drama, Man woman relationships New York State New York Drama, Manhattan New York N Y Drama, Brooklyn New York N Y Drama, Feature films, Fiction films, Romantic comedy films, Comedy films, Video recordings for the hearing impaired",20th Century Fox,2008,7,2009,336,VIDEODISC,Physical,Horizon
"Sweeney Todd [videorecording] : the demon barber of Fleet Street / DreamWorks Pictures and Warner Bros. Pictures present a Parkes/MacDonald production ; a Zanuck Company production ; produced by John Logan, Laurie MacDonald, Walter Parkes, Richard D. Zanuck ; screenplay by John Logan ; directed by Tim Burton.",,"Todd Sweeney Legendary character Drama, Barbers Drama, Serial murderers England London Drama, Revenge Drama, Meat grinders England London Drama, Fleet Street London England Drama, Feature films, Musical films, Video recordings for the hearing impaired, Horror films, Thrillers Motion pictures",Paramount Pictures,2008,3,2009,336,VIDEODISC,Physical,Horizon
Waitress [videorecording] / Fox Searchlight Pictures ; a Night and Day Pictures production ; produced by Michael Roiff ; written and directed by Adrienne Shelly.,,"Waitresses Drama, Pregnant women Drama, Pies Drama, Married people Drama, Adultery Drama, Feature films, Romantic comedy films, Video recordings for the hearing impaired, Comedy films, Fiction films",20th Century Fox,2007,3,2009,336,VIDEODISC,Physical,Horizon
"The assassination of Jesse James by the coward Robert Ford [videorecording] / Warner Bros. Pictures ; Scott Free Productions ; Plan B Entertainment ; Virtual Studios ; produced by Jules Daly, Dede Gardner, Brad Pitt, Ridley Scott, David Valdes ; written for the screen and directed by Andrew Dominik.",,"James Jesse 1847 1882 Drama, Ford Robert 1862 1892 Drama, Assassination Drama, Criminal behavior Drama, West U S Drama, Feature films, Fiction films, Western films, Biographical films, Video recordings for the hearing impaired",Warner Bros.,2008,12,2008,336,VIDEODISC,Physical,Horizon
"Sicko [videorecording] / Dog Eat Dog Films ; Weinstein Company ; produced by Michael Moore, Meghan O'Hara ; written and directed by Michael Moore.",,"Medical care United States, Health care reform United States, Medical care United States Public opinion, Medical economics United States, Medical policy United States, Feature films, Documentary films, Video recordings for the hearing impaired",Weinstein Company,2007,7,2008,336,VIDEODISC,Physical,Horizon
Flightplan [videorecording] / Touchstone Pictures and Imagine Entertainment present a Brian Grazer production ; produced by Brian Grazer ; written by Peter A. Dowling and Billy Ray ; directed by Robert Schwentke.,,"Mothers of kidnapped children Drama, Flight crews Drama, Air pilots Drama, Flight attendants Drama, Feature films, Thrillers Motion pictures, Video recordings for the hearing impaired",Touchstone Home Entertainment,2006,8,2006,336,VIDEODISC,Physical,Horizon
"Finding Dory [videorecording] / Walt Disney Pictures ; Pixar Animation Studios ; directed by Andrew Stanton ; co-directed by Angus MacLane ; produced by Lindsey Collins ; original story by Andrew Stanton ; screenplay by Andrew Stanton, Victoria Strouse.",,"Anemonefishes Juvenile drama, Missing children Juvenile drama, Parent and child Juvenile drama, Fishes Juvenile drama, Memory Juvenile drama, Quests Expeditions Juvenile drama, Animated films, Childrens films, Fiction films, Feature films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Buena Vista Home Entertainment,2016,12,2016,336,VIDEODISC,Physical,Horizon
"Sully [videorecording] / Warner Bros. Pictures ; in association with Village Roadshow Pictures ; a Malpaso production ; in association with RatPac-Dune Entertainment ; a Flashlight Films production ; a Kennedy/Marshall Company production ; written by Todd Komarnicki ; produced by Frank Marshall, Allyn Stewart, Tim Moore ; directed and produced by Clint Eastwood.",,"Sullenberger Chesley 1951 Drama, Air pilots Drama, Lifesaving Drama, Hudson River N Y and N J Drama, Feature films, Fiction films, Biographical films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Warner Bros.,2016,2,2017,336,VIDEODISC,Physical,Horizon
"Lady Bird / A24 and IAC Films ; produced by Scott Rudin, Eli Bush, Evelyn O'Neill ; written & directed by Greta Gerwig.",,"Mothers and daughters Drama, Teenage girls California Drama, High school students California Drama, Feature films, Coming of age films, Comedy films, Fiction films, Video recordings for the hearing impaired",Lionsgate Films,2018,6,2018,336,VIDEODISC,Physical,Horizon
"Barracoon : the story of the last ""black cargo"" / Zora Neale Hurston ; edited and with an introduction by Deborah G. Plant.","Hurston, Zora Neale","Lewis Cudjo, Slaves United States Biography, West Africans United States Biography, Slavery Alabama History 19th century, Slave trade Africa History 19th century, Slave trade United States History 19th century, Clotilda Ship",Amistad,2018,9,2018,336,BOOK,Physical,Horizon
"The Danish girl [videorecording] / Focus Features ; a Working Title/Pretty Pictures production in association with Revision Pictures and Senator Global Productions ; directed by Tom Hooper ; produced by Gail Mutrux, Anne Harrison, Tim Bevan, Eric Fellner, Tom Hooper ; screenplay by Lucinda Coxon.",,"Elbe Lili 1882 1931 Drama, Wegener Gerda Drama, Transgender artists Drama, Transgender people Drama, Marriage Drama, Artists Drama, Biographical films, Fiction films, Feature films, Video recordings for the hearing impaired",Universal Studios,2016,10,2016,335,VIDEODISC,Physical,Horizon
Gone girl : a novel / Gillian Flynn.,"Flynn, Gillian","Husbands Fiction, Married people Fiction, Wives Crimes against Fiction, Mystery fiction",Crown Publishers,2012,2,2013,335,BOOK,Physical,Horizon
"Vicky Cristina Barcelona [videorecording] / The Weinstein Company ; a Mediapro and Gravier production in association with Antena 3 Films & Antena 3 TV ; a Dumaine production ; produced by Letty Aronson, Stephen Tenenbaum, Gareth Wiley ; written and directed by Woody Allen.",,"Man woman relationships Spain Drama, Americans Spain Drama, Triangles Interpersonal relations Drama, Feature films, Fiction films, Comedy films, Video recordings for the hearing impaired",Genius Products,2008,11,2010,335,VIDEODISC,Physical,Horizon
"Last chance Harvey [videorecording] / Overture Films ; a Process production ; produced by Tim Perell, Nicola Usborne ; written and directed by Joel Hopkins.",,"Musicians Drama, Jingles Advertising songs Drama, Airports Employees Drama, Fathers and daughters England Drama, Marriage customs and rites England Drama, Man woman relationships England London Drama, Feature films, Fiction films, Video recordings for the hearing impaired",Anchor Bay Entertainment,2009,1,2010,335,VIDEODISC,Physical,Horizon
"Body of lies [videorecording] / Warner Bros. Pictures ; Scott Free ; a De Line Pictures production ; produced by Donald De Line ; screenplay by William Monahan ; produced, directed by Ridley Scott.",,"Spies Drama, Terrorists Drama, Bombings Drama, Infiltration Military science Drama, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired, Feature films, Action and adventure films",Warner Bros.,2009,10,2009,335,VIDEODISC,Physical,Horizon
"Dan in real life [videorecording] / Touchstone Pictures ; Focus Features ; produced by Jon Shestack, Brad Epstein ; written by Pierce Gardner and Peter Hedges ; directed by Peter Hedges.",,"Widowers Drama, Man woman relationships Drama, Dating Social customs Drama, Fathers and daughters Drama, Brothers Drama, Mothers and sons Drama, Feature films, Video recordings for the hearing impaired, Comedy films",Touchstone Home Entertainment,2008,1,2009,335,VIDEODISC,Physical,Horizon
Today will be different : a novel / Maria Semple.,"Semple, Maria","Mothers and sons Fiction, Animators Fiction, Family secrets Fiction, Seattle Wash Fiction, Humorous fiction, Domestic fiction","Little, Brown and Company",2016,2,2017,335,BOOK,Physical,Horizon
"Lion / The Weinstein Company ; Screen Australia ; See-Saw Films ; Wanda Pictures ; in association with Aquarius Films and Sunstar Entertainment ; produced by Emile Sherman, Iain Canning, Angie Fielder ; screenplay by Luke Davies ; directed by Garth Davis.",,"Brierley Saroo Drama, Missing children Drama, Orphanages Drama, Adopted children Drama, Adoptive parents Drama, East Indians Australia Drama, Birthparents Identification Drama, Intercountry adoption Drama, Hobart Tas Drama, Kolkata India Drama, Feature films, Fiction films, Biographical films, Video recordings for the hearing impaired",Anchor Bay Entertainment,2017,6,2017,335,VIDEODISC,Physical,Horizon
"Sully [videorecording] / Warner Bros. Pictures ; in association with Village Roadshow Pictures ; a Malpaso production ; in association with RatPac-Dune Entertainment ; a Flashlight Films production ; a Kennedy/Marshall Company production ; written by Todd Komarnicki ; produced by Frank Marshall, Allyn Stewart, Tim Moore ; directed and produced by Clint Eastwood.",,"Sullenberger Chesley 1951 Drama, Air pilots Drama, Lifesaving Drama, Hudson River N Y and N J Drama, Feature films, Fiction films, Biographical films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Warner Bros.,2016,5,2017,335,VIDEODISC,Physical,Horizon
"Al Franken, giant of the Senate / by Al Franken.","Franken, Al","Franken Al, United States Congress Senate Biography, Legislators United States Biography, Comedians United States Biography, Autobiographies",Twelve,2017,8,2017,335,BOOK,Physical,Horizon
Varina : a novel / Charles Frazier.,"Frazier, Charles","Davis Varina 1826 1906 Fiction, Man woman relationships Fiction, United States History Civil War 1861 1865 Fiction, Biographical fiction, Historical fiction",Ecco,2018,8,2018,335,BOOK,Physical,Horizon
12 rules for life : an antidote to chaos / Jordan B. Peterson ; foreword by Norman Doidge ; illustrations by Ethan Van Scriver.,"Peterson, Jordan B.",Conduct of life Philosophy,Random House,2018,9,2018,335,BOOK,Physical,Horizon
"The big short [videorecording] / Paramount Pictures ; Regency Enterprises ; Plan B ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Arnon Milchan ; screenplay by Charles Randolph and Adam McKay ; directed by Adam McKay.",,"Global Financial Crisis 2008 2009 Drama, Financial crises 21st century Drama, United States Economic conditions 2001 2009 Drama, Historical films, Feature films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Paramount Pictures,2016,3,2016,334,VIDEODISC,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,12,2015,334,MIXED,Physical,Horizon
"To Rome with love [videorecording] / Sony Pictures Classics ; a Medusa Film & Gravier Production ; a Perdido Production ; produced by Letty Aronson, Stephen Tenenbaum, Giampaolo Letta, Faruk Alatan ; written and directed by Woody Allen.",,"Honeymoons Italy Drama, Celebrities Drama, Rome Italy Drama, Feature films, Comedy films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities, Fiction films",Sony Pictures Home Entertainment,2013,3,2013,334,VIDEODISC,Physical,Horizon
"Precious [videorecording] / Lionsgate ; Lee Daniels Entertainment in association with Smokewood Entertainment ; produced by Lee Daniels, Gary Magness, Sarah Siegel-Magness ; screenplay by Geoffrey Fletcher ; directed by Lee Daniels.",,"African American teenage mothers New York State New York Drama, Overweight teenagers New York State New York Drama, Illiterate persons Drama, Abused children Drama, Rape victims Drama, Incest Drama, Harlem New York N Y Drama, Video recordings for the hearing impaired, Feature films, Fiction films",Lionsgate Films,2010,1,2011,334,VIDEODISC,Physical,Horizon
"Mamma mia! [videorecording] / Universal Pictures ; a Playtone/Littlestar production ; produced by Judy Craymer, Gary Goetzman ; screenplay by Catherine Johnson ; directed by Phyllida Lloyd.",,"Mothers and daughters Drama, Fathers and daughters Drama, Weddings Drama, Man woman relationships Drama, Greece Drama, Musical films, Romantic comedy films, Video recordings for the hearing impaired, Feature films, Fiction films",Universal Studios,2008,6,2010,334,VIDEODISC,Physical,Horizon
"Miss Pettigrew lives for a day [videorecording] / Focus Features ; a Kudos Pictures and Keylight Entertainment production ; produced by Nellie Bellflower, Stephen Garrett ; screenplay by David Magee and Simon Beaufoy ; directed by Bharat Nalluri.",,"Social secretaries England London Drama, Women entertainers Drama, Man woman relationships England London Drama, Women Drama, London England Drama, Feature films, Fiction films, Romantic comedy films, Video recordings for the hearing impaired, Comedy films",Universal Studios,2008,1,2010,334,VIDEODISC,Physical,Horizon
"Up [videorecording] / Walt Disney Pictures ; a Pixar Animation Studios film ; produced by Jonas Rivera ; story by Pete Docter, Tom McCarthy, Bob Peterson ; screenplay by Bob Peterson, Pete Docter ; directed by Pete Docter, Bob Peterson.",,"Balloons Piloting Drama, Widowers Drama, Stowaways Drama, Scouts Youth organization members Drama, Explorers South America Drama, Adventure and adventurers Drama, Exotic animals South America Drama, Waterfalls South America Drama, Action and adventure films, Video recordings for the hearing impaired, Comedy films, Fantasy films, Feature films, Animated films, Fiction films",Disney,2009,1,2010,334,VIDEODISC,Physical,Horizon
"Duplicity [videorecording] / Universal Pictures, Relativity Media ; produced by Jennifer Fox, Kerry Orent, Laura Bickford ; written and directed by Tony Gilroy.",,"Agents provocateurs Drama, New products Drama, Competition Drama, Patents Drama, Man woman relationships Drama, Spy films, Action and adventure films, Video recordings for the hearing impaired, Feature films, Fiction films",Universal Studios,2009,11,2009,334,VIDEODISC,Physical,Horizon
The wrestler [videorecording] / Fox Searchlight Pictures in association with Wild Bunch ; a Protozoa Pictures production ; produced by Scott Franklin ; written by Robert Siegel ; directed and produced by Darren Aronofsky.,,"Wrestlers Drama, Wrestling matches Drama, Man woman relationships Drama, Fathers and daughters Drama, Supermarkets Drama, Sports films, Video recordings for the hearing impaired, Feature films, Fiction films",20th Century Fox,2009,7,2009,334,VIDEODISC,Physical,Horizon
"Hancock [videorecording] / Columbia Pictures in association with Relativity Media ; a Blue Light/Weed Road Pictures/Overbrook Entertainment production ; written by Vy Vincent Ngo and Vince Gilligan ; produced by Akiva Goldsman, Michael Mann, Will Smith, James Lassiter ; directed by Peter Berg.",,"Heroes Drama, Public relations Drama, Self perception Drama, Los Angeles Calif Drama, Feature films, Fiction films, Superhero films, Action and adventure films, Video recordings for the hearing impaired",Sony Pictures Home Entertainment,2008,7,2009,334,VIDEODISC,Physical,Horizon
Happy-go-lucky [videorecording] / Miramax Films ; Summit Entertainment ; Ingenious ; Film4 ; UK Film Council ; Thin Man Films ; produced by Simon Channing Williams ; written & directed by Mike Leigh.,,"Elementary school teachers Drama, Optimism England London Drama, Roommates Drama, Automobile driver education teachers England London Drama, Man woman relationships England London Drama, Video recordings for the hearing impaired, Feature films, Fiction films, Comedy films",Miramax Home Entertainment,2009,4,2009,334,VIDEODISC,Physical,Horizon
"Dan in real life [videorecording] / Touchstone Pictures ; Focus Features ; produced by Jon Shestack, Brad Epstein ; written by Pierce Gardner and Peter Hedges ; directed by Peter Hedges.",,"Widowers Drama, Man woman relationships Drama, Dating Social customs Drama, Fathers and daughters Drama, Brothers Drama, Mothers and sons Drama, Feature films, Video recordings for the hearing impaired, Comedy films",Touchstone Home Entertainment,2008,12,2008,334,VIDEODISC,Physical,Horizon
"Lars and the real girl [videorecording] / Metro-Goldwyn-Mayer ; Sidney Kimmel Entertainment ; produced by Sarah Aubrey, John Cameron, Sidney Kimmel ; written by Nancy Oliver ; directed by Craig Gillespie.",,"Men Sexual behavior Drama, Companion dolls Drama, Triangles Interpersonal relations Drama, Love Drama, Feature films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,12,2008,334,VIDEODISC,Physical,Horizon
"Enchanted [videorecording] / Walt Disney Pictures ; Andalasia Productions ; Steiner Studios ; James Baxter Animation ; Josephson Entertainment ; produced by Barry Josephson, Barry Sonnenfeld ; animation producer, Ron Rocha ; written by Bill Kelly ; directed by Kevin Lima.",,"Princesses Juvenile drama, Man woman relationships Juvenile drama, Exile Punishment Juvenile drama, Lawyers Juvenile drama, Manhattan New York N Y Juvenile drama, Animated films, Childrens films, Feature films",Disney,2008,7,2008,334,VIDEODISC,Physical,Horizon
Proof of life / J.A. Jance.,"Jance, Judith A.","Beaumont J P Fictitious character Fiction, Police Washington State Seattle Fiction, Cold cases Criminal investigation Fiction, Murder Investigation Fiction, Detective and mystery fiction",William Morrow,2017,9,2017,334,BOOK,Physical,Horizon
Glass houses / Louise Penny.,"Penny, Louise","Gamache Armand Fictitious character Fiction, Police Qu?bec Province Fiction, Murder Investigation Fiction, Detective and mystery fiction",Minotaur Books,2017,11,2017,334,BOOK,Physical,Horizon
Year one / Nora Roberts.,"Roberts, Nora","Survival Fiction, Magic Fiction, Good and evil Fiction, Fantasy fiction, Thrillers Fiction, Dystopian fiction",St. Martin's Press,2017,1,2018,334,BOOK,Physical,Horizon
"We're going to need more wine : stories that are funny, complicated, and true / Gabrielle Union.","Union, Gabrielle","Union Gabrielle, Television actors and actresses Biography, Autobiographies",Dey St.,2017,1,2018,334,BOOK,Physical,Horizon
"Lady Bird / A24 and IAC Films ; produced by Scott Rudin, Eli Bush, Evelyn O'Neill ; written & directed by Greta Gerwig.",,"Mothers and daughters Drama, Teenage girls California Drama, High school students California Drama, Feature films, Coming of age films, Comedy films, Fiction films, Video recordings for the hearing impaired",Lionsgate Films,2018,8,2018,334,VIDEODISC,Physical,Horizon
The New Yorker,,,,,9,2016,333,MAGAZINE,Digital,Zinio
"Downton Abbey. Season 3 [videorecording] / written and created by Julian Fellowes ; producer, Liz Trubridge ; directors, Brian Percival ... [and others] ; a Carnival/Masterpiece co-production.",,"Country life Drama, Families Drama, Household employees Drama, World War 1914 1918 Great Britain Drama, Social classes Great Britain Drama, England Social conditions 20th century Drama, Great Britain Drama, Man woman relationships Drama, Television series, Historical television programs, Television melodramas, Fiction television programs, Video recordings for the hearing impaired",Carnival Film & Television Limited,2013,3,2013,333,VIDEODISC,Physical,Horizon
Inglourious Basterds [videorecording] / The Weinstein Company ; a Universal picture ; A Band Apart ; a Zehnte Babelsberg Film GMBH production ; produced by Lawrence Bender ; written and directed by Quentin Tarantino.,,"World War 1939 1945 Participation Jewish Drama, Jews France Drama, World War 1939 1945 France Drama, World War 1939 1945 Women Drama, World War 1939 1945 Motion pictures and the war Drama, World War 1939 1945 Propaganda Drama, Hitler Adolf 1889 1945 Assassination attempts Drama, War films, Action and adventure films, Video recordings for the hearing impaired, Feature films, Fiction films",Universal Studios,2009,8,2010,333,VIDEODISC,Physical,Horizon
"The soloist [videorecording] / DreamWorks Pictures and Universal Pictures in association with StudioCanal and Participant Media ; a Between Two Trees production in association with Working Title Films ; produced by Gary Foster, Russ Krasnoff ; screenplay by Susannah Grant ; directed by Joe Wright.",,"Lopez Steve Drama, Ayers Nathaniel Anthony Drama, Journalists Drama, Cellists Drama, African American homeless persons California Los Angeles Drama, Schizophrenics Drama, Skid row California Los Angeles Drama, Biographical films, Musical films, Video recordings for the hearing impaired, Feature films, Fiction films",Paramount Pictures,2009,4,2010,333,VIDEODISC,Physical,Horizon
"The golden compass [videorecording] / New Line Cinema in association with Ingenious Film Partners ; a Scholastic production ; a Depth of Field production ; produced by Deborah Forte, Bill Carraro ; screenplay and directed by Chris Weitz.",,"Witches Drama, Alliances Drama, Human experimentation in psychology Drama, Action and adventure films, Thrillers Motion pictures, Fantasy films, Video recordings for the hearing impaired, Feature films",New Line Cinema,2008,8,2009,333,VIDEODISC,Physical,Horizon
"Frost/Nixon [videorecording] / Universal Pictures ; Imagine Entertainment ; Working Title Films ; in association with StudioCanal ; produced by Brian Grazer, Ron Howard, Tim Bevan, Eric Fellner ; screenplay by Peter Morgan ; directed by Ron Howard.",,"Nixon Richard M Richard Milhous 1913 1994 Drama, Frost David 1939 April 7 Drama, Watergate Affair 1972 1974 Drama, Presidents Interviews Drama, Abuse of administrative power Drama, Biographical films, Historical films, Video recordings for the hearing impaired, Feature films",Universal Studios,2009,6,2009,333,VIDEODISC,Physical,Horizon
"Charlie Wilson's war [videorecording] / Universal Pictures ; Playtone ; Participant Productions ; Relativity Media ; produced by Gary Goetzman, Tom Hanks ; screenplay by Aaron Sorkin ; directed by Mike Nichols.",,"Wilson Charles 1933 2010 Drama, United States Congress Committees Drama, Legislators Drama, Afghanistan History Soviet occupation 1979 1989 Drama, Military assistance American Afghanistan, Feature films, Biographical films, Video recordings for the hearing impaired",Universal Studios,2008,10,2008,333,VIDEODISC,Physical,Horizon
"There will be blood [videorecording] / Paramount Vantage ; Miramax Films ; a JoAnne Sellar/Ghoulardi Film Company production ; produced by Paul Thomas Anderson, Daniel Lupi, JoAnne Sellar ; written for the screen and directed by Paul Thomas Anderson.",,"Oil industry workers California Drama, Oil well drilling rigs Drama, Brothers California Drama, California Drama, Feature films, Video recordings for the hearing impaired",Paramount Pictures,2008,10,2008,333,VIDEODISC,Physical,Horizon
"Becoming Jane [videorecording] / Miramax Films, Hanway Films, UK Film Council and Bord Scann n na hireann/The Irish Film Board in association with 2 Entertain and BBC Films and Ecosse Films production in association with Blueprint Pictures, produced with Scion Films ; producers, Graham Broadbent, Robert Bernstein, Douglas Rae ; written by Sarah Williams and Kevin Hood ; director, Julian Jarrold.",,"Austen Jane 1775 1817 Drama, Women novelists English Drama, Man woman relationships England Drama, Families Drama, England Drama, Feature films, Biographical films, Video recordings for the hearing impaired",Miramax Home Entertainment,2008,9,2008,333,VIDEODISC,Physical,Horizon
Doctor Strange / Marvel Studios ; directed by Scott Derrickson ; written by Jon Spaihts and Scott Derrickson & C. Robert Cargill ; produced by Kevin Feige.,,"Wizards Drama, Magic Drama, Superheroes Drama, Feature films, Action and adventure films, Fantasy films, Fiction films, Superhero films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Marvel Studios,2017,4,2017,333,VIDEODISC,Physical,Horizon
The late show / Michael Connelly.,"Connelly, Michael","Women detectives California Los Angeles Fiction, Policewomen California Los Angeles Fiction, Sexual harassment in law enforcement Fiction, Murder Investigation Fiction, Hollywood Los Angeles Calif Fiction, Detective and mystery fiction, Thrillers Fiction","Little, Brown and Company",2017,9,2017,333,BOOK,Physical,Horizon
