title,creator,subjects,publisher,publicationyear,checkoutmonth,checkoutyear,checkouts,materialtype,usageclass,checkouttype
In the midst of winter : a novel / Isabel Allende ; translated by Nick Castor and Amanda Hopkinson.,"Allende, Isabel","College teachers Fiction, Women college teachers Fiction, Women illegal aliens Fiction, Human rights Fiction, New York N Y Fiction, Guatemala Fiction, Chile Fiction",Atria Books,2017,11,2017,621,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,5,2016,620,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,7,2016,619,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,11,2016,619,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,8,2017,619,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,6,2016,616,MIXED,Physical,Horizon
Fire and fury : inside the Trump White House / Michael Wolff.,"Wolff, Michael","Trump Donald 1946, Bannon Stephen K, Presidents United States, United States Politics and government 2009 2017, United States Politics and government 2017",Henry Holt and Company,2018,1,2018,616,BOOK,Physical,Horizon
"Doubt [videorecording] / Miramax Films ; produced by Scott Rudin, Mark Roybal ; written for the screen and directed by John Patrick Shanley.",,"Catholic Church Clergy Drama, School principals Drama, Nuns Drama, Malicious accusation Drama, Child abuse Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Detective and mystery films",Buena Vista Home Entertainment,2009,1,2010,613,VIDEODISC,Physical,Horizon
We were eight years in power : an American tragedy / Ta-Nehisi Coates.,"Coates, Ta-Nehisi","Obama Barack, African Americans Social conditions 21st century, United States Politics and government 2009 2017, United States Social conditions 21st century, United States Race relations",One World,2017,12,2017,613,BOOK,Physical,Horizon
Smitten kitchen every day : triumphant and unfussy new favorites / Deb Perelman.,"Perelman, Deb","Cooking, Cookbooks",Alfred A. Knopf,2017,1,2018,613,BOOK,Physical,Horizon
